User ID,Home Alone,The Lion King,The Princess Bride,Titanic,Beauty and the Beast,Cinderella,Shrek,Forrest Gump,Aladdin,Ferris Bueller's Day Off,Finding Nemo,Harry Potter and the Sorcerer's Stone,Back to the Future,UP,The Breakfast Club,The Truman Show,Avengers: Endgame,The Incredibles,Coraline,Elf
ECa,4.5,4,4.5,4,3,3,4,4,3.5,4.8,4.7,4,4,4.8,4,4.6,4.9,4.4,4,2.9
Dad,5,4,4,4,3,4,3,5,3,5,4,4,5,4,3,4,4,5,3,3
Mic,4,3.9,4.3,4.8,3.7,3.7,,4.5,4.4,4.4,4.7,3.4,3.9,4.7,4,3.9,,4.4,3.6,3.1
Dad,5,4,4,4,3,4,3,5,3,5,4,4,5,4,3,4,4,5,3,3
SMa,4,4.5,5,,3,2,4,,4.5,5,2,3,2,5,,5,3,5,2,5
Mas,5,3,,5,4,4,,5,,4,5,4,,2,,,,2,,
LBa,,4,,5,3.75,3,4,,4,,3.5,,,4,,5,,3.5,,5
JGi,4,4.5,3.5,3.5,4,3,4,4,4,4,3.5,4,3.5,4,4,3,4.5,4.5,3,2
SPo,3,3,5,,4,,4,,5,5,,1,2,3,,4,,,,
CVe,5,4,4,,5,,,,,5,,5,4,,,,5,5,,4.5
LEv,3,4.5,5,3,5,3,4,3.5,4,4,3.5,2.5,2,,3,3,,5,5,4
VMi,3,4,,2.5,3,2,3.5,,4,4,4.5,4,3.5,3.5,,,,4,,3.5
IHe,5,4,3,4.5,3,4.5,5,5,4,5,5,,3.5,5,5,5,2,4,2,3
MTa,,4.5,,5,4,4,5,5,3.5,,4,5,,,,5,4.5,4.5,,
EKu,4,5,,5,,5,3,5,5,,5,,5,,,,,,,
GBo,3,4.5,3,4,4,4,2,5,3,4.5,3.5,5,5,4,4.5,4,4.5,3,4,2
Sea,5,,,4,1,,2,,,,2,5,5,1,,,,3,,3
JGu,4,4.5,3,4,3.5,3,4,5,,,4,4.5,,5,5,4,4,4,5,3
Gui,,3,,3,4,3,4.5,4,4,,4,3,3,4.5,,,4,4.5,4,
CCa,4.3,4.5,,5,3.8,5,3.9,5.5,,5.4,4.8,4.5,4.7,4.3,,4.1,,,,
YSh,3.5,4,,3.5,3.5,3.5,3.5,4.5,4,,3.5,3.5,4,3.6,,3.5,2.5,3.5,,
DCa,4,4,,5,4,4,3.5,5,3.5,4,4,4,4.5,4,1.5,4,,,,
YLi,2,3,5,2,2,2,,5,,2,4,,,5,4,,,5,,
THo,,4,5,,2,2,5,4,4,2,2,,1,3,4,2,3,3,,1
KDA,5,5,3,4,3,2,2,5,3,4,5,3,3,5,3,5,2,5,4,3
ZSo,,4.2,,4.6,3.7,4.5,,,3.6,,,2.8,,,,,,,,
Vla,,,,5,,,,,,,,,,,,,,,,
NPa,,5,5,4,3,2,3,3,2,3,5,3,4,3,5,,2,1,,3
Sar,4,4,2,3,4,4,4,4,5,3,4,5,4,5,3,3,3,3,4,2
PRu,2,,,,,,5,5,,3,3,,,4,,,4,5,4,3
AWi,,3,4,,3,3,4,4,3,,4,4,,,,4,4,4,,3.5
Al,4,5,,3,,,4,5,5,5,4,4,,,,,3,5,,
EYa,2,4,5,,,,5,5,4,,5,3.4,3,5,,,4,4.5,4.5,4
HSa,3.5,4.3,4,,2,3,5,,4,3.5,4,2.8,4,3.5,3.5,,3.7,4.5,,3.5
ZSo,,4.2,,4.6,3.7,4.5,,,3.6,,,2.8,,,,,,,,
SSu,3.9,4.1,,3.2,,,,,,,3.6,3,,,,4.3,3.4,3.1,,
YSu,,,,4.5,4,,,,,,4.5,4.5,,,,,4,,,
CCh,3,4,,4.5,3,,,5,4,,4,4,5,5,,5,4,5,,
MTr,3,4,5,2,2,2,5,3,4,,4,4,4,3,,,3,4,3,3
Sas,3,5,,,5,,5,5,4,,5,,3,,,,,,,
Ann,4,4.5,5,4,4,3,5,5,3,,4,4,5,5,,,,,,
Ana,4,5,4.5,4,5,,5,5,5,,5,5,5,5,,4,5,3,,
GKu,3,5,,5,4,,5,5,5,,5,,5,,4,5,,,,
Ann,4,3,,3,4,5,5,5,4,,4,4,5,4,,5,4,4,,4
JNi,4.5,,,5,,,4,,,,4,5,,,,,,3,,
Tas,5,5,,5,,,,5,,,5,5,5,5,,,,4,,
YLi,,4.5,,,,4.5,,,,,4,4,,5,,,,,,
LEv,2,4,5,3,5,2,4,3,4,5,3,2,2,,3,3,,5,5,3
WWo,4,,,5,,,3.5,,,,5,5,5,,,5,5,4.5,,
XRe,3.5,4.8,4,5,4.5,5,3.9,4.5,4,3.6,4.5,3,4.5,4.1,3.9,4,4.2,4,3.8,3.5
Nic,,2.5,,,,,4.5,,,,3,5,,,4,,5,,,3
Kir,4,4.2,,5,3.8,4,4.5,5,,,,3.6,3.5,4.2,,4,,,,
SBa,4,4,,2,,2,5,,3,,4,4,4,5,,,,5,,
PDi,,,,,,,4,5,,,5,,5,,,,5,2,,
JVa,5,4,4,4,4,4,4,5,4,,5,5,5,5,,5,5,5,,4
DPa,,4,,,4,,4,,3,,3,5,4,5,,,4,3,4,
NMe,3,3,3,5,5,3,1,3,4,3,3,5,5,3,2,5,5,5,5,1
ETs,3.5,5,3.5,3,4,3.5,5,4,3.5,3.5,4,3.5,4,3.5,4,4,2.5,3,4,3
LSo,3.7,5,3.8,3.5,4.3,,,4.5,4,,4.2,4.5,3.5,4.5,,4.3,3.5,3.8,,
DNo,2.5,4,,4,2.5,1,3,5,1,4,3,2,3,4,4,3,,3,2.5,3
